# Properties of the galaxy distribution
#
# First row: Nz, gamma_rms
# Following rows: z, dz/2 (half-width), n_eff (gal/arcmin^2 in this bin)
# (these should be space-delimited)
#
15 0.22
0.10 0.10  3.73
0.30 0.10  2.26
0.50 0.10  3.23
0.70 0.10  6.26
0.90 0.10  2.99
1.10 0.10  3.95
1.30 0.10  3.37
1.50 0.10  2.75
1.70 0.10  1.55
1.90 0.10  1.83
2.10 0.10  1.41
2.30 0.10  1.04
2.50 0.10  0.90
2.70 0.10  0.76
2.90 0.10  0.24
