# Trilegal 1.6 run queried by C. Hirata, May 16, 2016
# Stars to J=22 in 1 deg^2 at the South Galactic Pole
# Magnitudes are SDSS ugriz + UKIDSS ZYJHK
# SDSS are on approximate AB system, UKIDSS on Vega
#
# Effective wavelengths of the filters are below.
# Vega to AB offsets in UKIDSS ZYJHK are below.
# [Hewett et al.: http://www.ukidss.org/technical/photom/hewett-ukidss.pdf]
#
# The following lines of data are used to tell scripts reading this file where the information is:
#
#! col_m2/m1 = 10
#! col_first_band = 12
#! num_bands = 10
#! lambda = 0.3546, 0.4670, 0.6156, 0.7471, 0.8918, 0.8817, 1.0305, 1.2483, 1.6313, 2.2010
#! ab_offset = 0, 0, 0, 0, 0, 0.528, 0.634, 0.938, 1.379, 1.900
#
#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   u      g      r      i      z      Z      Y      J      H      K        Mact
 1   9.81 -0.51  0.13281 -2.670 3.507  5.204 11.20  0.038 0.00 22.645 29.445 25.770 24.082 22.915 22.270 21.760 21.326 20.769 20.235 19.965  0.133 
 1   9.81 -0.49  0.21255 -2.083 3.575  5.093  8.60  0.038 0.00 18.577 23.287 20.606 19.180 18.541 18.157 17.632 17.308 16.848 16.321 16.108  0.213 
 1   9.81 -0.49  0.29664 -1.788 3.593  5.015  9.30  0.038 0.00 18.541 22.791 20.333 19.004 18.458 18.133 17.606 17.306 16.865 16.314 16.130  0.297 
 1   9.81 -0.47  0.12620 -2.735 3.499  5.218 11.10  0.038 0.75 22.358 29.690 25.857 24.132 22.757 22.006 21.507 21.016 20.416 19.891 19.622  0.126 
 1   9.81 -0.47  0.48435 -1.307 3.621  4.862 11.60  0.038 0.00 19.638 23.437 21.135 19.958 19.529 19.278 18.747 18.479 18.049 17.437 17.301  0.484 
 1   9.81 -0.45  0.14519 -2.567 3.514  5.169  9.70  0.038 0.00 20.886 27.358 23.866 22.226 21.125 20.505 19.993 19.570 19.026 18.497 18.227  0.145 
 1   9.81 -0.43  0.07804 -3.827 3.324  5.399  7.90  0.037 0.74 22.186 37.353 30.257 27.320 24.869 22.978 22.652 21.402 20.176 19.499 19.033  0.078 
 1   9.81 -0.43  0.11341 -2.855 3.487  5.242  9.40  0.038 0.00 21.308 28.836 24.865 23.128 21.708 20.948 20.448 19.961 19.370 18.846 18.571  0.113 
 1   9.81 -0.43  0.20857 -2.115 3.569  5.093  9.80  0.038 0.00 19.857 24.753 21.985 20.545 19.854 19.441 18.918 18.583 18.115 17.585 17.363  0.209 
 1   9.81 -0.43  0.46266 -1.376 3.614  4.880 10.10  0.038 0.00 18.309 22.222 19.885 18.668 18.207 17.936 17.406 17.129 16.695 16.094 15.948  0.463 
 1   9.81 -0.41  0.55415 -1.122 3.634  4.788  8.20  0.037 0.73 15.412 19.140 16.863 15.721 15.302 15.056 14.525 14.259 13.829 13.221 13.091  0.554 
 1   9.81 -0.41  0.54457 -1.150 3.632  4.798  9.50  0.038 0.00 17.145 20.804 18.540 17.424 17.030 16.802 16.271 16.012 15.584 14.963 14.842  0.545 
 1   9.81 -0.41  0.12221 -2.779 3.493  5.223  9.60  0.038 0.00 21.317 28.534 24.724 23.017 21.679 20.950 20.447 19.974 19.395 18.872 18.596  0.122 
 1   9.81 -0.41  0.48330 -1.325 3.617  4.860  9.70  0.038 0.71 17.398 21.381 19.019 17.785 17.305 17.019 16.490 16.207 15.770 15.177 15.024  0.483 
 1   9.81 -0.41  0.63939 -0.866 3.662  4.706 14.40  0.038 0.83 20.909 24.193 22.089 21.106 20.773 20.583 20.050 19.813 19.403 18.809 18.708  0.639 
 1   9.81 -0.39  0.18857 -2.244 3.552  5.113  9.70  0.038 0.00 20.080 25.475 22.447 20.951 20.147 19.677 19.157 18.800 18.311 17.778 17.531  0.189 
 1   9.81 -0.39  0.59075 -1.025 3.643  4.752  9.90  0.038 0.00 17.233 20.718 18.515 17.466 17.108 16.903 16.371 16.123 15.701 15.086 14.979  0.591 
 1   9.81 -0.39  0.41654 -1.503 3.602  4.915 10.10  0.038 0.00 18.628 22.706 20.325 19.049 18.539 18.234 17.705 17.414 16.976 16.393 16.232  0.417 
 1   9.81 -0.37  1.44922 -2.481 4.086  7.989  8.00  0.037 0.81 18.931 19.832 19.402 19.531 19.713 19.931 19.375 19.449 19.407 19.318 19.362  0.602 
 1   9.81 -0.37  0.20330 -2.151 3.563  5.093  9.90  0.038 0.00 20.047 25.122 22.272 20.821 20.076 19.635 19.113 18.768 18.291 17.759 17.529  0.203 
 1   9.81 -0.37  0.86147 -0.165 3.757  4.512 10.50  0.038 0.00 15.684 17.349 16.131 15.655 15.528 15.494 14.953 14.837 14.566 14.231 14.191  0.861 
 1   9.81 -0.37  0.16459 -2.426 3.528  5.140 11.30  0.038 0.00 22.135 28.114 24.869 23.300 22.312 21.741 21.226 20.827 20.304 19.779 19.515  0.165 
 1   9.81 -0.35  1.10211  0.604 3.717  3.692 10.10  0.038 0.00 13.360 15.553 13.998 13.366 13.178 13.093 12.554 12.394 12.072 11.647 11.592  1.102 
 1   9.81 -0.35  0.34328 -1.715 3.588  4.987 10.60  0.038 0.00 19.657 24.042 21.537 20.197 19.602 19.245 18.719 18.407 17.958 17.405 17.219  0.343 
 1   9.81 -0.35  0.85721 -0.193 3.753  4.522 11.00  0.038 0.00 16.253 17.970 16.717 16.223 16.091 16.052 15.511 15.392 15.116 14.773 14.732  0.857 
 1   9.81 -0.35  0.24998 -1.975 3.572  5.046 11.40  0.038 0.00 21.108 25.885 23.200 21.791 21.101 20.686 20.163 19.829 19.364 18.833 18.619  0.250 
 1   9.81 -0.33  0.25400 -1.967 3.572  5.042  8.00  0.037 0.79 17.152 22.064 19.315 17.891 17.166 16.733 16.211 15.870 15.399 14.867 14.645  0.254 
 1   9.81 -0.33  0.56175 -1.122 3.632  4.782  8.60  0.038 0.93 15.557 19.322 17.014 15.865 15.451 15.208 14.677 14.412 13.979 13.353 13.229  0.562 
 1   9.81 -0.33  0.72164 -0.636 3.690  4.638 11.10  0.038 0.00 17.460 20.130 18.297 17.521 17.282 17.160 16.623 16.431 16.069 15.569 15.498  0.722 
 1   9.81 -0.33  1.12678  1.421 3.677  2.723 14.20  0.038 0.00 15.416 18.333 16.331 15.512 15.252 15.110 14.573 14.358 13.978 13.448 13.374  1.127 
 1   9.81 -0.31  0.08177 -3.608 3.368  5.375  6.80  0.033 0.00 20.590 33.682 27.211 24.977 22.446 20.780 20.407 19.361 18.387 17.866 17.515  0.082 
 1   9.81 -0.31  0.14061 -2.626 3.504  5.174  8.30  0.037 0.94 18.974 25.755 22.210 20.564 19.305 18.597 18.092 17.630 17.066 16.551 16.273  0.141 
 1   9.81 -0.31  0.15915 -2.474 3.520  5.142  9.20  0.038 0.88 19.575 25.916 22.562 20.965 19.835 19.188 18.678 18.244 17.700 17.183 16.911  0.159 
 1   9.81 -0.31  0.12652 -2.752 3.493  5.208 10.40  0.038 0.99 21.309 28.447 24.739 23.060 21.695 20.942 20.441 19.956 19.376 18.864 18.583  0.127 
 1   9.81 -0.31  0.22559 -2.076 3.564  5.070 11.60  0.038 0.81 21.054 26.252 23.374 21.918 21.117 20.643 20.123 19.765 19.279 18.749 18.511  0.226 
 1   9.81 -0.31  0.13824 -2.647 3.502  5.180 12.40  0.038 0.00 23.787 30.522 26.997 25.355 24.110 23.409 22.903 22.445 21.883 21.368 21.090  0.138 
 1   9.81 -0.29  0.08277 -3.562 3.376  5.366  8.10  0.037 0.00 21.774 34.417 28.160 26.035 23.504 21.887 21.504 20.496 19.563 19.060 18.717  0.083 
 1   9.81 -0.29  0.29607 -1.846 3.577  5.010  8.60  0.038 0.00 17.986 22.627 20.021 18.642 17.968 17.562 17.038 16.708 16.248 15.711 15.507  0.296 
 1   9.81 -0.29  0.28034 -1.894 3.574  5.023  8.70  0.038 0.00 18.205 22.916 20.279 18.889 18.196 17.779 17.256 16.922 16.459 15.925 15.717  0.280 
 1   9.81 -0.29  1.16613 -1.466 4.320  7.906  9.60  0.038 0.00 18.036 19.783 19.764 20.130 20.440 20.754 20.193 20.345 20.394 20.437 20.528  0.597 
 1   9.81 -0.29  0.10983 -2.904 3.478  5.239 10.40  0.038 0.00 22.430 30.135 26.179 24.455 22.912 22.078 21.585 21.059 20.453 19.947 19.662  0.110 
 1   9.81 -0.29  0.26303 -1.946 3.571  5.034 11.00  0.038 0.93 19.961 24.816 22.105 20.696 19.972 19.539 19.017 18.677 18.207 17.675 17.457  0.263 
 1   9.81 -0.29  0.16288 -2.449 3.523  5.137 11.80  0.038 0.84 22.169 28.455 25.139 23.552 22.428 21.781 21.271 20.838 20.294 19.779 19.507  0.163 
 1   9.81 -0.27  0.15917 -2.479 3.519  5.139  9.10  0.038 0.00 20.068 26.251 22.978 21.406 20.307 19.675 19.164 18.739 18.202 17.688 17.418  0.159 
 1   9.81 -0.27  0.07732 -3.840 3.318  5.386  9.60  0.038 0.00 23.971 39.217 32.171 29.140 26.706 24.802 24.479 23.204 21.945 21.241 20.785  0.077 
 1   9.81 -0.27  0.66135 -0.846 3.660  4.691 10.00  0.038 0.00 16.885 20.115 18.001 17.046 16.738 16.566 16.033 15.803 15.398 14.813 14.724  0.661 
 1   9.81 -0.27  0.51090 -1.280 3.615  4.832 10.20  0.038 0.00 18.170 22.129 19.761 18.547 18.080 17.803 17.274 16.993 16.553 15.934 15.797  0.511 
 1   9.81 -0.27  0.26994 -1.929 3.571  5.029 10.30  0.038 0.00 19.892 24.691 22.014 20.616 19.899 19.468 18.946 18.607 18.140 17.606 17.393  0.270 
 1   9.81 -0.27  0.45158 -1.439 3.602  4.884 11.20  0.038 0.00 19.567 23.691 21.290 20.015 19.491 19.174 18.646 18.350 17.907 17.312 17.156  0.452 
 1   9.81 -0.25  0.90129 -0.120 3.757  4.486  9.30  0.038 0.84 14.026 15.902 14.549 14.006 13.856 13.802 13.262 13.127 12.833 12.455 12.407  0.901 
 1   9.81 -0.25  0.17393 -2.374 3.531  5.123 10.10  0.038 0.99 20.075 25.939 22.796 21.267 20.260 19.674 19.160 18.757 18.237 17.719 17.456  0.174 
 1   9.81 -0.25  0.38479 -1.613 3.589  4.937 10.20  0.038 0.00 19.003 23.401 20.904 19.577 18.962 18.590 18.065 17.748 17.296 16.734 16.553  0.385 
 1   9.81 -0.25  0.27623 -1.913 3.571  5.023 12.30  0.038 0.91 21.192 26.048 23.346 21.945 21.210 20.769 20.247 19.905 19.435 18.901 18.684  0.276 
 1   9.81 -0.23  1.12781  0.589 3.758  3.877  7.40  0.036 0.00 10.696 12.410 11.129 10.655 10.533 10.501  9.960  9.843  9.574  9.246  9.207  1.128 
 1   9.81 -0.23  0.08060 -3.631 3.362  5.370  9.40  0.038 0.82 23.153 36.627 30.032 27.724 25.193 23.494 23.127 22.053 21.049 20.494 20.042  0.081 
 1   9.81 -0.23  0.20049 -2.185 3.554  5.086  9.50  0.038 0.00 19.733 25.025 22.104 20.651 19.814 19.322 18.802 18.440 17.952 17.421 17.178  0.200 
 1   9.81 -0.21  0.09844 -3.087 3.453  5.275  8.60  0.038 0.98 20.391 29.248 24.826 23.043 21.120 20.099 19.627 18.993 18.323 17.838 17.544  0.098 
 1   9.81 -0.21  0.38708 -1.613 3.587  4.933  9.00  0.038 0.80 17.283 21.817 19.273 17.928 17.264 16.862 16.339 16.011 15.552 15.002 14.810  0.387 
 1   9.81 -0.21  0.09221 -3.218 3.434  5.303  9.80  0.038 0.00 22.616 32.029 27.423 25.634 23.543 22.383 21.928 21.210 20.499 20.026 19.713  0.092 
 1   9.81 -0.19  0.28794 -1.888 3.570  5.011  8.70  0.038 0.00 18.191 23.019 20.347 18.960 18.213 17.765 17.244 16.899 16.429 15.894 15.681  0.288 
 1   9.81 -0.19  0.15093 -2.549 3.508  5.142  9.10  0.038 0.79 19.782 26.463 23.051 21.443 20.146 19.405 18.903 18.424 17.855 17.354 17.072  0.151 
 1   9.81 -0.19  0.19293 -2.245 3.545  5.094  9.20  0.038 0.00 19.582 25.074 22.086 20.615 19.706 19.174 18.657 18.279 17.779 17.254 17.001  0.193 
 1   9.81 -0.19  0.48196 -1.375 3.604  4.857 10.70  0.038 0.00 18.907 23.033 20.624 19.360 18.837 18.521 17.993 17.697 17.251 16.643 16.495  0.482 
 1   9.81 -0.19  0.11781 -2.842 3.480  5.218 11.80  0.038 0.95 22.986 30.513 26.714 25.026 23.485 22.634 22.142 21.607 21.002 20.507 20.216  0.118 
 1   9.81 -0.17  0.19874 -2.206 3.549  5.085 10.80  0.038 0.77 20.665 26.290 23.279 21.799 20.833 20.262 19.747 19.350 18.836 18.317 18.058  0.199 
 1   9.81 -0.17  0.45443 -1.450 3.597  4.879 11.80  0.038 0.00 20.195 24.441 22.001 20.711 20.141 19.796 19.270 18.962 18.512 17.919 17.760  0.454 
 1   9.81 -0.15  0.80836 -0.438 3.712  4.579  6.80  0.033 0.00 12.664 15.026 13.343 12.661 12.467 12.380 11.841 11.675 11.347 10.912 10.854  0.808 
 1   9.81 -0.15  0.10093 -3.045 3.457  5.260  8.40  0.037 0.00 20.784 29.205 25.025 23.281 21.460 20.474 19.997 19.384 18.733 18.250 17.952  0.101 
 1   9.81 -0.15  0.21281 -2.152 3.552  5.071  8.80  0.038 0.96 18.232 23.567 20.652 19.209 18.333 17.819 17.301 16.932 16.440 15.911 15.664  0.213 
 1   9.81 -0.15  0.15638 -2.515 3.511  5.135  9.50  0.038 0.78 20.110 26.670 23.333 21.746 20.467 19.731 19.228 18.751 18.187 17.689 17.407  0.156 
 1   9.81 -0.15  0.60044 -1.064 3.631  4.750 10.20  0.038 0.73 17.290 21.201 18.833 17.658 17.204 16.931 16.402 16.122 15.680 15.059 14.929  0.600 
 1   9.81 -0.15  0.11430 -2.877 3.476  5.221 10.50  0.038 0.00 22.463 30.015 26.235 24.552 22.984 22.113 21.623 21.077 20.469 19.980 19.685  0.114 
 1   9.81 -0.13  0.70890 -0.752 3.666  4.652  8.70  0.038 0.00 15.350 18.526 16.415 15.483 15.191 15.032 14.497 14.273 13.877 13.308 13.225  0.709 
 1   9.81 -0.11  0.10640 -2.971 3.464  5.238  9.50  0.038 0.00 21.696 29.683 25.736 24.032 22.318 21.371 20.889 20.299 19.666 19.184 18.883  0.106 
 1   9.81 -0.11  0.13607 -2.689 3.492  5.173 10.30  0.038 0.00 21.792 28.671 25.214 23.600 22.212 21.421 20.922 20.419 19.842 19.352 19.062  0.136 
 1   9.81 -0.11  0.09930 -3.076 3.451  5.262 10.80  0.038 0.00 23.260 31.824 27.612 25.868 23.988 22.961 22.489 21.853 21.191 20.713 20.409  0.099 
 1   9.81 -0.11  0.31559 -1.826 3.570  4.989 13.80  0.038 0.77 22.625 27.564 24.863 23.478 22.677 22.200 21.680 21.325 20.848 20.314 20.093  0.316 
 1   9.81 -0.09  0.07441 -4.010 3.280  5.385  6.30  0.031 0.00 21.094 37.200 30.257 26.689 24.356 22.408 22.091 20.715 19.256 18.348 17.746  0.074 
 1   9.81 -0.09  0.08205 -3.537 3.377  5.342  8.90  0.038 0.77 22.463 35.035 28.858 26.752 24.226 22.617 22.231 21.228 20.301 19.794 19.404  0.082 
 1   9.81 -0.09  0.07836 -3.725 3.340  5.362  9.00  0.038 0.87 22.925 37.518 30.551 27.904 25.404 23.582 23.240 22.059 20.929 20.281 19.732  0.078 
 1   9.81 -0.09  0.75645 -0.620 3.684  4.619  9.90  0.038 0.00 16.219 19.094 17.122 16.288 16.037 15.908 15.372 15.170 14.800 14.284 14.212  0.756 
 1   9.81 -0.07  0.71930 -0.741 3.666  4.646  9.40  0.038 0.00 16.023 19.232 17.098 16.157 15.863 15.703 15.169 14.944 14.546 13.977 13.894  0.719 
 1   9.81 -0.07  0.14795 -2.588 3.500  5.142 10.40  0.038 0.00 21.641 28.180 24.894 23.320 22.013 21.258 20.756 20.273 19.710 19.222 18.936  0.148 
 1   9.81 -0.07  0.31276 -1.840 3.567  4.988 11.70  0.038 0.00 21.071 25.956 23.289 21.919 21.120 20.643 20.123 19.768 19.294 18.758 18.542  0.313 
 1   9.81 -0.05  0.11331 -2.896 3.470  5.216  9.10  0.038 0.00 21.110 28.707 24.985 23.321 21.692 20.771 20.286 19.711 19.094 18.617 18.313  0.113 
 1   9.81 -0.03  0.09412 -3.183 3.434  5.277  8.50  0.037 0.81 21.020 30.437 25.986 24.207 22.129 20.920 20.475 19.705 18.923 18.409 18.052  0.094 
 1   9.81  0.01  0.17643 -2.392 3.520  5.104  9.20  0.038 0.74 19.555 25.729 22.632 21.121 19.889 19.162 18.659 18.189 17.637 17.149 16.869  0.176 
 1   9.81  0.03  0.11269 -2.910 3.466  5.211 11.00  0.038 0.00 23.044 30.710 27.000 25.342 23.669 22.714 22.232 21.638 21.013 20.543 20.232  0.113 
 1   9.81  0.05  0.15277 -2.565 3.499  5.127  9.00  0.038 0.00 20.183 26.680 23.459 21.904 20.573 19.799 19.299 18.807 18.242 17.762 17.473  0.153 
 1   9.81  0.05  0.08887 -3.297 3.415  5.290  9.40  0.038 0.85 22.178 32.622 27.674 25.817 23.540 22.189 21.763 20.905 20.059 19.531 19.153  0.089 
 1   9.81  0.05  0.13374 -2.727 3.483  5.169 10.90  0.038 0.00 22.488 29.518 26.082 24.475 22.986 22.128 21.635 21.096 20.504 20.030 19.729  0.134 
 1   9.81  0.05  0.35830 -1.723 3.569  4.937 13.90  0.038 0.76 22.488 27.455 24.787 23.428 22.569 22.060 21.542 21.175 20.694 20.158 19.937  0.358 
 1   9.81  0.09  0.38536 -1.660 3.572  4.917 10.30  0.038 0.75 18.740 23.652 21.022 19.677 18.819 18.311 17.793 17.425 16.945 16.407 16.192  0.385 
 1   9.81  0.13  0.08648 -3.358 3.403  5.293 10.50  0.038 0.99 22.940 33.922 28.584 26.695 24.289 22.865 22.447 21.563 20.747 20.280 19.942  0.086 
 1   9.83 -0.67  0.14971 -2.495 3.528  5.167  8.50  0.037 0.00 19.507 25.706 22.228 20.587 19.654 19.125 18.608 18.220 17.695 17.153 16.898  0.150 
 1   9.83 -0.59  0.11817 -2.792 3.498  5.242  9.10  0.038 0.76 20.536 28.051 24.063 22.309 20.952 20.195 19.698 19.194 18.584 18.061 17.795  0.118 
 1   9.83 -0.59  0.82966 -0.179 3.761  4.526 11.30  0.038 0.00 16.518 18.077 16.953 16.506 16.382 16.349 15.808 15.697 15.430 15.098 15.059  0.830 
 1   9.83 -0.57  0.37437 -1.559 3.611  4.960  9.80  0.038 0.00 18.467 22.370 20.052 18.822 18.357 18.084 17.554 17.278 16.849 16.270 16.113  0.374 
 1   9.83 -0.55  0.10727 -2.913 3.485  5.266 10.40  0.038 0.00 22.452 30.273 26.075 24.290 22.845 22.094 21.594 21.110 20.512 19.981 19.718  0.107 
 1   9.83 -0.53  0.08529 -3.477 3.396  5.377  8.60  0.038 0.00 22.063 33.563 27.892 25.939 23.489 22.027 21.618 20.711 19.867 19.387 19.054  0.085 
 1   9.83 -0.51  0.12719 -2.721 3.502  5.218  7.10  0.035 0.00 18.672 25.637 21.884 20.179 18.964 18.298 17.790 17.347 16.783 16.248 15.977  0.127 
 1   9.83 -0.51  0.35947 -1.617 3.604  4.972 10.10  0.038 0.00 18.912 22.923 20.568 19.300 18.808 18.517 17.988 17.703 17.271 16.701 16.536  0.359 
 1   9.83 -0.49  0.53503 -1.156 3.635  4.808  9.20  0.038 0.00 16.860 20.437 18.214 17.122 16.740 16.519 15.987 15.734 15.310 14.695 14.576  0.535 
 1   9.83 -0.49  0.12265 -2.764 3.497  5.227 11.40  0.038 0.73 22.806 30.193 26.334 24.610 23.250 22.471 21.977 21.458 20.846 20.329 20.045  0.123 
 1   9.83 -0.49  0.16674 -2.388 3.537  5.144 11.60  0.038 0.00 22.341 28.167 24.921 23.350 22.462 21.949 21.431 21.054 20.544 20.010 19.751  0.167 
 1   9.83 -0.47  0.31068 -1.757 3.593  5.006 11.40  0.038 0.00 20.563 24.805 22.352 21.027 20.481 20.155 19.628 19.329 18.888 18.334 18.152  0.311 
 1   9.83 -0.47  0.18617 -2.243 3.556  5.121 13.80  0.038 0.94 23.528 28.973 25.904 24.387 23.593 23.129 22.608 22.252 21.760 21.226 20.978  0.186 
 1   9.83 -0.45  0.14417 -2.576 3.513  5.172 10.40  0.038 0.87 21.051 27.750 24.163 22.499 21.328 20.674 20.165 19.727 19.171 18.642 18.370  0.144 
 1   9.83 -0.43  0.08088 -3.674 3.358  5.397  8.50  0.037 0.00 22.456 36.129 29.385 27.005 24.476 22.751 22.391 21.297 20.269 19.722 19.361  0.081 
 1   9.83 -0.43  0.25086 -1.950 3.579  5.048  9.60  0.038 0.00 19.245 23.853 21.234 19.839 19.207 18.827 18.302 17.980 17.524 16.989 16.784  0.251 
 1   9.83 -0.43  0.11608 -2.831 3.489  5.237 10.30  0.038 0.99 21.403 28.844 24.915 23.185 21.790 21.041 20.540 20.058 19.470 18.946 18.671  0.116 
 1   9.83 -0.43  0.47661 -1.337 3.617  4.866 11.00  0.038 0.93 18.460 22.370 20.034 18.818 18.358 18.086 17.557 17.280 16.846 16.245 16.099  0.477 
 1   9.83 -0.43  0.43107 -1.456 3.608  4.906 11.30  0.038 0.00 19.710 23.700 21.344 20.097 19.613 19.326 18.796 18.513 18.078 17.488 17.334  0.431 
 1   9.83 -0.41  0.25908 -1.931 3.578  5.043  7.40  0.036 1.00 16.251 20.863 18.245 16.852 16.214 15.830 15.305 14.983 14.526 13.991 13.786  0.259 
 1   9.83 -0.41  0.43718 -1.446 3.607  4.900  9.80  0.038 0.00 18.185 22.188 19.827 18.577 18.090 17.800 17.271 16.986 16.550 15.959 15.805  0.437 
 1   9.83 -0.41  0.36200 -1.646 3.595  4.970  9.90  0.038 0.00 18.785 22.988 20.558 19.248 18.705 18.380 17.852 17.554 17.113 16.549 16.374  0.362 
 1   9.83 -0.41  0.16922 -2.384 3.535  5.137 10.00  0.038 1.00 19.984 25.830 22.614 21.055 20.127 19.589 19.072 18.687 18.173 17.644 17.384  0.169 
 1   9.83 -0.41  0.15426 -2.497 3.520  5.151 10.30  0.038 0.00 21.312 27.541 24.175 22.569 21.523 20.924 20.411 19.998 19.464 18.938 18.670  0.154 
 1   9.83 -0.41  0.08629 -3.431 3.402  5.359 10.40  0.038 0.00 23.747 34.878 29.413 27.507 25.093 23.673 23.256 22.376 21.557 21.083 20.751  0.086 
 1   9.83 -0.41  0.09715 -3.104 3.456  5.298 10.90  0.038 0.00 23.429 32.469 27.784 25.938 24.053 23.117 22.637 22.053 21.394 20.884 20.617  0.097 
 1   9.83 -0.41  0.13650 -2.650 3.505  5.190 11.40  0.038 0.00 22.795 29.540 25.949 24.287 23.088 22.418 21.910 21.466 20.907 20.382 20.108  0.136 
 1   9.83 -0.39  0.47220 -1.359 3.613  4.869  7.10  0.035 0.00 15.267 19.201 16.854 15.633 15.167 14.892 14.362 14.083 13.648 13.044 12.899  0.472 
 1   9.83 -0.39  0.74773 -0.521 3.710  4.617  9.00  0.038 0.00 15.072 17.389 15.764 15.090 14.887 14.793 14.254 14.087 13.754 13.308 13.246  0.748 
 1   9.83 -0.39  0.09696 -3.109 3.454  5.298 10.00  0.038 0.00 22.544 31.612 26.929 25.087 23.183 22.234 21.756 21.165 20.503 19.996 19.727  0.097 
 1   9.83 -0.39  0.08511 -3.484 3.392  5.365 10.30  0.038 0.00 23.779 35.506 29.727 27.739 25.272 23.776 23.372 22.443 21.580 21.096 20.759  0.085 
 1   9.83 -0.39  0.43276 -1.462 3.605  4.902 11.30  0.038 0.00 19.725 23.766 21.393 20.132 19.634 19.336 18.807 18.519 18.082 17.493 17.337  0.433 
 1   9.83 -0.39  0.26975 -1.906 3.579  5.035 11.60  0.038 0.70 20.716 25.511 22.813 21.397 20.711 20.301 19.777 19.444 18.977 18.442 18.224  0.270 
 1   9.83 -0.39  0.20269 -2.148 3.564  5.094 12.10  0.038 0.77 21.834 27.121 24.203 22.721 21.911 21.428 20.909 20.544 20.050 19.521 19.280  0.203 
 1   9.83 -0.37  0.14225 -2.604 3.508  5.173  8.00  0.037 0.00 19.279 25.880 22.376 20.738 19.561 18.898 18.390 17.949 17.395 16.874 16.600  0.142 
 1   9.83 -0.37  0.09192 -3.224 3.437  5.321  8.20  0.037 0.00 21.029 30.539 25.793 23.969 21.891 20.780 20.321 19.632 18.927 18.443 18.147  0.092 
 1   9.83 -0.37  0.17810 -2.326 3.541  5.125 10.40  0.038 0.00 20.984 26.654 23.522 21.994 21.103 20.585 20.067 19.691 19.186 18.657 18.400  0.178 
 1   9.83 -0.37  0.67636 -0.761 3.674  4.671 10.80  0.038 0.00 17.473 20.407 18.439 17.581 17.308 17.161 16.626 16.414 16.030 15.482 15.402  0.676 
 1   9.83 -0.37  0.26420 -1.928 3.576  5.038 11.10  0.038 0.79 20.164 24.963 22.264 20.848 20.159 19.745 19.222 18.888 18.422 17.890 17.674  0.264 
 1   9.83 -0.37  0.94941  0.156 3.787  4.354 11.80  0.038 0.00 16.180 17.571 16.514 16.155 16.074 16.075 15.532 15.443 15.208 14.933 14.906  0.949 
 1   9.83 -0.35  0.15162 -2.525 3.515  5.150 11.50  0.038 0.00 22.581 28.931 25.547 23.941 22.829 22.195 21.684 21.257 20.714 20.194 19.923  0.152 
 1   9.83 -0.33  0.33634 -1.735 3.586  4.990 10.40  0.038 0.00 19.507 23.945 21.420 20.073 19.461 19.093 18.567 18.252 17.800 17.250 17.060  0.336 
 1   9.83 -0.31  0.14572 -2.580 3.508  5.161  6.80  0.033 0.00 18.019 24.544 21.108 19.490 18.306 17.634 17.126 16.682 16.130 15.615 15.340  0.146 
 1   9.83 -0.31  0.49170 -1.323 3.613  4.850  8.30  0.037 0.00 16.378 20.351 17.985 16.761 16.288 16.006 15.477 15.195 14.756 14.144 14.003  0.492 
 1   9.83 -0.31  1.46580 -3.493 3.846  8.053  8.70  0.038 0.88 21.860 22.727 22.064 21.766 21.701 21.714 21.168 21.108 20.901 20.651 20.618  0.617 
 1   9.83 -0.31  0.44497 -1.447 3.603  4.889  8.80  0.038 0.91 16.555 20.717 18.303 17.018 16.481 16.158 15.631 15.332 14.889 14.304 14.142  0.445 
 1   9.83 -0.31  0.25860 -1.955 3.571  5.038  8.90  0.038 0.00 18.558 23.353 20.668 19.264 18.559 18.136 17.613 17.276 16.810 16.277 16.063  0.259 
 1   9.83 -0.31  0.75781 -0.522 3.706  4.612 10.80  0.038 0.00 16.875 19.275 17.591 16.895 16.688 16.590 16.052 15.879 15.542 15.089 15.026  0.758 
 1   9.83 -0.29  0.07487 -4.003 3.283  5.393  6.60  0.032 0.00 21.377 37.426 30.495 26.955 24.618 22.670 22.354 20.982 19.533 18.637 18.047  0.075 
 1   9.83 -0.29  0.79474 -0.412 3.722  4.584  9.60  0.038 0.00 15.401 17.566 16.022 15.393 15.212 15.135 14.596 14.442 14.127 13.713 13.658  0.795 
 1   9.83 -0.29  0.22449 -2.083 3.563  5.069 11.60  0.038 0.00 21.576 26.622 23.811 22.378 21.614 21.160 20.639 20.291 19.814 19.282 19.053  0.224 
 1   9.83 -0.27  0.42617 -1.500 3.597  4.901  7.90  0.037 0.00 16.419 20.630 18.201 16.907 16.353 16.018 15.491 15.188 14.743 14.159 13.995  0.426 
 1   9.83 -0.27  0.17907 -2.333 3.537  5.117  8.70  0.038 0.72 18.944 24.905 21.733 20.193 19.157 18.551 18.039 17.623 17.092 16.573 16.307  0.179 
 1   9.83 -0.27  0.59264 -1.051 3.636  4.753 10.20  0.038 0.00 17.598 21.246 18.967 17.866 17.484 17.262 16.730 16.473 16.044 15.417 15.306  0.593 
 1   9.83 -0.27  0.08687 -3.393 3.406  5.339 10.90  0.038 0.00 24.153 35.021 29.708 27.824 25.449 24.058 23.636 22.774 21.969 21.499 21.166  0.087 
