# Trilegal 1.6 run queried by C. Hirata, May 16, 2016
# Stars to J=22 in 1 deg^2 at the South Galactic Pole
# Magnitudes are SDSS ugriz + UKIDSS ZYJHK
# SDSS are on approximate AB system, UKIDSS on Vega
#
# Effective wavelengths of the filters are below.
# Vega to AB offsets in UKIDSS ZYJHK are below.
# [Hewett et al.: http://www.ukidss.org/technical/photom/hewett-ukidss.pdf]
#
# The following lines of data are used to tell scripts reading this file where the information is:
#
#! col_m2/m1 = 10
#! col_first_band = 12
#! num_bands = 10
#! lambda = 0.3546, 0.4670, 0.6156, 0.7471, 0.8918, 0.8817, 1.0305, 1.2483, 1.6313, 2.2010
#! ab_offset = 0, 0, 0, 0, 0, 0.528, 0.634, 0.938, 1.379, 1.900
#
#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   u      g      r      i      z      Z      Y      J      H      K        Mact
 1   8.97  0.27  0.11067 -2.917 3.459  5.180 11.60  0.038 0.00 23.663 31.583 27.785 26.114 24.355 23.351 22.874 22.250 21.609 21.144 20.827  0.111 
 1   8.99 -0.07  0.99307 -0.115 3.753  4.506  7.20  0.035 0.00 12.257 14.070 12.718 12.203 12.074 12.040 11.499 11.378 11.103 10.766 10.726  0.993 
 1   8.99  0.03  2.58635 -1.631 4.316  8.127  5.20  0.024 0.00 14.047 15.746 15.740 16.101 16.411 16.727 16.166 16.322 16.373 16.414 16.507  0.703 
 1   8.99  0.05  0.15082 -2.575 3.497  5.125  7.90  0.037 0.83 18.595 25.361 22.045 20.465 19.048 18.225 17.730 17.209 16.627 16.151 15.855  0.151 
 1   8.99  0.13  0.22158 -2.169 3.538  5.053  7.60  0.036 0.00 17.794 23.321 20.419 18.984 17.972 17.378 16.864 16.463 15.954 15.442 15.186  0.222 
 1   8.99  0.17  0.06550 -4.012 3.271  5.296  6.70  0.033 0.00 21.500 37.818 30.790 27.153 24.811 22.858 22.536 21.148 19.672 18.737 18.093  0.065 
 1   8.99  0.25  0.39077 -1.673 3.568  4.921  8.70  0.038 0.92 16.999 21.929 19.310 17.982 17.093 16.573 16.056 15.680 15.197 14.653 14.441  0.391 
 1   9.01 -0.31  0.10377 -2.993 3.468  5.263  7.70  0.036 0.00 19.952 28.177 23.960 22.195 20.506 19.618 19.131 18.575 17.946 17.441 17.160  0.104 
 1   9.01 -0.03  0.07227 -3.793 3.321  5.322  7.60  0.036 0.00 21.853 36.933 29.875 26.940 24.489 22.592 22.264 21.005 19.781 19.116 18.666  0.072 
 1   9.01  0.01  0.18151 -2.363 3.524  5.102  8.50  0.037 0.00 19.177 25.011 22.014 20.539 19.420 18.765 18.255 17.826 17.299 16.802 16.536  0.182 
 1   9.01  0.03  0.07392 -3.737 3.333  5.322  7.10  0.035 0.00 21.213 35.850 28.854 26.120 23.636 21.785 21.447 20.239 19.087 18.473 18.054  0.074 
 1   9.01  0.09  0.20235 -2.236 3.536  5.071 11.80  0.038 0.00 22.160 27.740 24.820 23.377 22.348 21.745 21.232 20.827 20.315 19.805 19.548  0.202 
 1   9.01  0.23  0.19684 -2.278 3.528  5.068  8.40  0.037 0.97 18.165 23.955 20.979 19.512 18.403 17.753 17.243 16.815 16.291 15.792 15.527  0.197 
 1   9.03  0.07  0.12617 -2.798 3.475  5.185  7.00  0.034 0.00 18.765 26.042 22.504 20.875 19.310 18.413 17.924 17.364 16.759 16.287 15.982  0.126 
 1   9.03  0.23  0.14715 -2.630 3.487  5.130  6.60  0.032 0.00 17.944 24.789 21.438 19.852 18.409 17.575 17.080 16.554 15.971 15.497 15.199  0.147 
 1   9.05 -0.01  0.07284 -3.783 3.324  5.324  6.00  0.029 0.00 20.228 35.230 28.162 25.270 22.813 20.924 20.594 19.346 18.138 17.486 17.046  0.073 
 1   9.05 -0.01  0.63927 -1.027 3.632  4.745  8.10  0.037 0.00 15.436 19.258 16.882 15.737 15.334 15.098 14.567 14.301 13.862 13.220 13.110  0.639 
 1   9.05  0.09  0.07924 -3.551 3.371  5.316  7.10  0.035 0.00 20.747 33.544 27.254 25.084 22.553 20.903 20.524 19.491 18.538 18.031 17.676  0.079 
 1   9.05  0.15  0.59806 -1.157 3.615  4.776 12.20  0.038 0.00 19.863 23.984 21.537 20.323 19.809 19.499 18.972 18.675 18.222 17.575 17.450  0.598 
 1   9.05  0.21  0.08607 -3.358 3.402  5.283  8.90  0.038 0.00 22.065 33.029 27.708 25.822 23.416 21.989 21.571 20.686 19.871 19.406 19.065  0.086 
 1   9.05  0.33  0.12349 -2.835 3.468  5.181  5.30  0.025 0.00 17.157 24.708 21.057 19.413 17.761 16.818 16.334 15.746 15.126 14.659 14.349  0.123 
 1   9.07 -0.15  0.68464 -0.863 3.655  4.702 12.00  0.038 0.00 18.928 22.310 20.112 19.110 18.787 18.606 18.073 17.835 17.422 16.821 16.730  0.685 
 1   9.07 -0.09  0.76385 -0.671 3.679  4.655  7.10  0.035 0.00 13.547 16.506 14.489 13.628 13.368 13.232 12.696 12.488 12.111 11.581 11.506  0.764 
 1   9.07 -0.01  0.08625 -3.365 3.405  5.304  6.60  0.032 0.99 19.074 30.053 24.707 22.817 20.416 18.996 18.578 17.697 16.881 16.413 16.076  0.086 
 1   9.07  0.11  0.08307 -3.441 3.390  5.303  6.30  0.031 0.00 19.672 31.357 25.643 23.660 21.192 19.678 19.275 18.334 17.467 16.988 16.645  0.083 
 1   9.07  0.27  0.20201 -2.248 3.531  5.062  8.00  0.037 0.00 18.391 24.067 21.125 19.672 18.604 17.977 17.466 17.049 16.532 16.027 15.766  0.202 
 1   9.09 -0.31  0.22082 -2.105 3.563  5.084  5.90  0.028 0.76 15.505 20.767 17.870 16.407 15.581 15.090 14.571 14.206 13.715 13.188 12.947  0.221 
 1   9.09 -0.11  0.06784 -3.983 3.280  5.317  8.40  0.037 0.00 23.128 39.236 32.259 28.710 26.368 24.415 24.095 22.717 21.269 20.378 19.773  0.068 
 1   9.09 -0.01  0.17497 -2.403 3.520  5.110 12.20  0.038 0.74 22.584 28.773 25.664 24.149 22.917 22.192 21.688 21.218 20.666 20.177 19.897  0.175 
 1   9.09  0.09  0.43743 -1.544 3.581  4.892  8.00  0.037 0.00 16.631 21.246 18.742 17.443 16.666 16.203 15.684 15.330 14.861 14.302 14.117  0.437 
 1   9.09  0.17  0.28523 -1.962 3.550  5.000 12.00  0.038 0.00 21.676 26.978 24.143 22.737 21.806 21.258 20.742 20.363 19.867 19.340 19.092  0.285 
 1   9.11 -0.09  0.12000 -2.835 3.477  5.207  7.00  0.034 0.77 18.478 26.164 22.426 20.755 19.110 18.161 17.681 17.081 16.443 15.966 15.660  0.120 
 1   9.11 -0.07  0.06964 -3.927 3.293  5.327  7.80  0.037 0.00 22.389 38.250 31.295 27.886 25.518 23.567 23.250 21.889 20.491 19.663 19.108  0.070 
 1   9.11  0.07  0.26981 -1.995 3.551  5.016 12.00  0.038 0.75 21.267 26.629 23.780 22.365 21.411 20.850 20.334 19.948 19.448 18.926 18.677  0.270 
 1   9.11  0.15  0.12060 -2.855 3.467  5.190  9.20  0.038 0.00 21.107 28.703 25.033 23.382 21.723 20.775 20.292 19.701 19.079 18.610 18.299  0.121 
 1   9.11  0.29  0.20746 -2.228 3.532  5.058  9.00  0.038 0.94 18.666 24.375 21.424 19.967 18.887 18.253 17.742 17.322 16.803 16.300 16.038  0.207 
 1   9.11  0.31  0.36255 -1.749 3.563  4.945  8.80  0.038 0.92 17.280 22.320 19.639 18.292 17.387 16.858 16.341 15.963 15.476 14.936 14.713  0.363 
 1   9.13 -0.05  0.10094 -3.053 3.452  5.251  6.30  0.031 0.77 18.443 27.070 22.973 21.237 19.344 18.240 17.782 17.074 16.344 15.858 15.533  0.101 
 1   9.13  0.07  0.52717 -1.322 3.600  4.828  8.60  0.038 0.00 16.675 20.933 18.489 17.224 16.642 16.286 15.761 15.447 14.990 14.363 14.220  0.527 
 1   9.13  0.15  0.23559 -2.119 3.540  5.037  6.70  0.033 0.00 16.769 22.248 19.362 17.934 16.936 16.351 15.837 15.440 14.934 14.419 14.165  0.236 
 1   9.13  0.21  0.11948 -2.869 3.464  5.189  8.20  0.037 0.00 20.144 27.851 24.135 22.477 20.784 19.818 19.337 18.735 18.106 17.639 17.326  0.119 
 1   9.15 -0.29  0.65613 -0.898 3.655  4.720  7.70  0.036 0.00 14.715 18.024 15.877 14.893 14.573 14.393 13.860 13.625 13.214 12.617 12.524  0.656 
 1   9.15  0.11  0.11404 -2.908 3.464  5.204  5.70  0.027 0.84 17.255 25.326 21.472 19.792 17.994 16.959 16.487 15.840 15.182 14.717 14.400  0.114 
 1   9.15  0.25  0.20984 -2.219 3.533  5.056 12.30  0.038 0.00 22.619 28.262 25.330 23.881 22.824 22.205 21.693 21.280 20.764 20.258 19.997  0.210 
 1   9.17 -0.31  0.48120 -1.370 3.609  4.873  9.70  0.038 0.00 17.894 21.907 19.534 18.294 17.806 17.515 16.986 16.701 16.261 15.657 15.510  0.481 
 1   9.17 -0.21  0.68424 -0.843 3.659  4.698  9.10  0.038 0.00 15.977 19.255 17.111 16.142 15.830 15.657 15.123 14.891 14.485 13.896 13.807  0.684 
 1   9.17 -0.17  0.17786 -2.363 3.530  5.118  7.40  0.036 0.75 17.676 23.731 20.575 19.043 17.931 17.281 16.772 16.337 15.799 15.291 15.020  0.178 
 1   9.17 -0.11  0.24634 -2.042 3.557  5.045  7.90  0.037 0.00 17.775 22.934 20.121 18.708 17.858 17.356 16.837 16.474 15.988 15.457 15.221  0.246 
 1   9.17 -0.07  0.06259 -4.213 3.225  5.294  7.00  0.034 0.97 21.642 41.204 33.458 28.984 26.377 24.366 24.033 22.545 20.824 19.226 18.065  0.063 
 1   9.17 -0.07  0.10361 -3.015 3.458  5.244  9.80  0.038 1.00 21.355 29.552 25.543 23.833 22.041 21.044 20.568 19.949 19.302 18.827 18.520  0.104 
 1   9.17 -0.03  0.08704 -3.345 3.409  5.304  5.20  0.024 0.96 17.693 28.610 23.311 21.418 19.035 17.618 17.201 16.320 15.501 15.030 14.694  0.087 
 1   9.17  0.07  0.26220 -2.018 3.550  5.020  8.40  0.037 0.00 18.215 23.511 20.674 19.267 18.341 17.797 17.280 16.902 16.407 15.880 15.633  0.262 
 1   9.17  0.09  0.14015 -2.678 3.486  5.153  6.30  0.031 0.75 17.349 24.520 21.051 19.439 17.896 17.000 16.513 15.949 15.341 14.870 14.565  0.140 
 1   9.17  0.19  0.17901 -2.401 3.514  5.093  7.80  0.037 0.00 18.573 24.659 21.585 20.080 18.876 18.172 17.666 17.211 16.669 16.180 15.904  0.179 
 1   9.19 -0.27  0.72969 -0.695 3.681  4.666 10.00  0.038 0.00 16.508 19.365 17.425 16.592 16.334 16.199 15.663 15.459 15.084 14.557 14.482  0.730 
 1   9.19 -0.07  0.13078 -2.742 3.485  5.184  8.10  0.037 0.00 19.725 26.779 23.276 21.653 20.193 19.361 18.866 18.342 17.753 17.270 16.975  0.131 
 1   9.19 -0.03  0.08343 -3.447 3.391  5.318  7.40  0.036 0.00 20.789 32.426 26.727 24.751 22.288 20.786 20.381 19.448 18.586 18.107 17.766  0.083 
 1   9.19 -0.03  0.24556 -2.058 3.552  5.041  7.60  0.036 0.00 17.516 22.772 19.940 18.531 17.628 17.097 16.580 16.206 15.715 15.187 14.943  0.246 
 1   9.19  0.13  0.10059 -3.071 3.445  5.237  8.50  0.037 0.86 20.492 29.479 25.235 23.490 21.462 20.279 19.827 19.086 18.364 17.900 17.572  0.101 
 1   9.19  0.45  0.07477 -3.733 3.333  5.322  8.30  0.037 0.00 22.403 37.049 30.050 27.313 24.829 22.978 22.639 21.431 20.278 19.663 19.244  0.075 
 1   9.21 -0.39  0.07670 -3.709 3.345  5.356  5.80  0.028 0.00 19.842 34.052 27.137 24.581 22.069 20.273 19.925 18.770 17.679 17.102 16.713  0.077 
 1   9.21 -0.27  0.30792 -1.831 3.578  5.014  6.30  0.031 0.00 15.647 20.268 17.673 16.301 15.626 15.219 14.696 14.366 13.907 13.369 13.167  0.308 
 1   9.21 -0.11  0.12438 -2.794 3.482  5.200  8.80  0.038 0.00 20.555 27.801 24.186 22.538 21.041 20.197 19.703 19.172 18.576 18.089 17.795  0.124 
 1   9.21 -0.05  0.90556 -0.306 3.728  4.560  7.90  0.037 0.92 12.874 15.168 13.519 12.858 12.675 12.597 12.058 11.898 11.578 11.159 11.104  0.906 
 1   9.21 -0.01  0.84078 -0.480 3.703  4.600  8.70  0.038 0.00 14.670 17.253 15.424 14.681 14.470 14.371 13.832 13.653 13.311 12.852 12.790  0.841 
 1   9.21  0.01  1.29769  0.515 3.814  4.236  6.80  0.033 0.00 10.282 11.592 10.507 10.228 10.195 10.232  9.689  9.619  9.422  9.211  9.190  1.298 
 1   9.21  0.03  0.72169 -0.811 3.655  4.672  8.40  0.037 0.00 15.198 18.662 16.403 15.380 15.055 14.873 14.339 14.099 13.685 13.082 12.993  0.722 
 1   9.21  0.07  0.91766 -0.311 3.723  4.551 12.10  0.038 0.00 17.648 19.940 18.271 17.615 17.441 17.371 16.831 16.676 16.363 15.963 15.910  0.918 
 1   9.21  0.21  0.07628 -3.671 3.345  5.318  4.80  0.021 0.00 18.748 32.862 25.995 23.467 20.953 19.159 18.809 17.656 16.575 16.008 15.616  0.076 
 1   9.21  0.25  0.57278 -1.220 3.606  4.786  7.20  0.035 0.00 15.021 19.268 16.817 15.592 15.000 14.643 14.119 13.801 13.339 12.694 12.562  0.573 
 1   9.21  0.27  0.17499 -2.430 3.510  5.097  8.60  0.038 0.00 19.445 25.625 22.519 21.003 19.769 19.048 18.544 18.080 17.533 17.046 16.767  0.175 
 1   9.21  0.35  0.13704 -2.717 3.479  5.153  7.70  0.036 0.95 18.583 25.811 22.305 20.682 19.127 18.233 17.744 17.184 16.580 16.110 15.803  0.137 
 1   9.23 -0.23  0.33787 -1.761 3.580  4.995  8.00  0.037 0.00 17.174 21.750 19.182 17.825 17.154 16.750 16.227 15.898 15.440 14.895 14.699  0.338 
 1   9.23 -0.23  0.63528 -0.972 3.645  4.738  9.70  0.038 0.89 16.349 19.984 17.707 16.612 16.233 16.013 15.482 15.225 14.796 14.170 14.060  0.635 
 1   9.23 -0.17  0.37531 -1.668 3.583  4.957  8.70  0.038 0.89 17.021 21.614 19.055 17.705 17.013 16.596 16.073 15.740 15.279 14.733 14.538  0.375 
 1   9.23 -0.17  0.15901 -2.497 3.514  5.136  9.50  0.038 0.91 19.888 26.280 22.986 21.411 20.198 19.500 18.994 18.539 17.987 17.485 17.207  0.159 
 1   9.23 -0.09  0.89488 -0.317 3.729  4.567  7.60  0.036 0.72 12.949 15.247 13.637 12.964 12.765 12.673 12.135 11.966 11.634 11.184 11.119  0.895 
 1   9.23 -0.09  0.74216 -0.720 3.672  4.662 13.10  0.038 0.90 19.150 22.405 20.263 19.303 18.997 18.828 18.294 18.064 17.661 17.080 16.993  0.742 
 1   9.23 -0.07  0.13700 -2.687 3.490  5.170  9.40  0.038 0.00 20.887 27.758 24.333 22.727 21.322 20.517 20.020 19.510 18.930 18.445 18.153  0.137 
