# Format of source catalog file:
#
# space delimited
#
# col1: ID number
# col2: redshift, z
# col3: r_eff [in arcsec]
# col4: sigma_e [per component, Bernstein & Jarvis 2002 ellipticity convention]
#
   7487 0.0700 0.5090 0.08762
   7488 0.0600 0.2610 0.02758
   7550 0.0000 0.1380 0.01754
   7551 0.0000 0.5320 0.01601
   7559 0.0000 0.2410 0.01948
   7563 0.0330 0.3500 0.09850
   7567 0.1400 1.0600 0.01199
   7578 0.1450 0.3270 0.02182
   7583 0.1630 0.8510 0.04991
   7725 0.0000 0.4870 0.00320
   7837 0.0000 0.6010 0.01002
   7888 0.1490 0.2890 0.02747
   7945 0.0000 0.5760 0.01028
   8017 0.0210 0.4320 0.04884
   8030 0.0000 0.2710 0.02004
   8033 0.0000 0.7170 0.00068
   8038 0.0000 0.1590 0.03907
   8062 0.1360 0.1550 0.15459
   8077 0.0640 0.4180 0.11120
   8151 0.0000 0.1740 0.01426
   8153 0.0000 0.2350 0.01029
   8206 0.0000 0.3120 0.03299
   8211 0.0850 0.3140 0.10028
   8217 0.0000 0.3060 0.03009
   8252 0.1260 0.5870 0.03856
   8396 0.0000 0.5040 0.03737
   8409 0.0000 0.4340 0.01923
   8420 0.1990 0.3560 0.02139
   8443 0.0000 0.2030 0.00686
   8502 0.0420 0.7340 0.09157
   8513 0.0000 0.2540 0.06782
   8542 0.0350 0.2150 0.03306
   8558 0.0250 0.3210 0.09879
   8623 0.0770 0.5810 0.08198
   8755 0.0100 1.0710 0.04293
   8793 0.0000 0.5530 0.00134
   8801 0.1210 0.3690 0.00540
   8828 0.0610 0.5150 0.02584
   8847 0.0000 0.2820 0.00568
   8861 0.0000 0.5790 0.00325
   8923 0.0000 0.2830 0.15542
   8942 0.0000 0.4650 0.00171
   8955 0.0000 0.1190 0.03855
   8973 0.0000 0.1550 0.01673
   8992 0.0220 0.9520 0.09188
   9024 0.0000 0.2250 0.06927
   9026 0.0000 0.1130 0.00864
   9036 0.0000 0.4050 0.00582
   9073 0.0000 0.1210 0.01288
   9089 0.0000 0.3290 0.13324
   9145 0.1360 0.1250 0.01306
   9242 0.0000 0.3080 0.01745
   9245 0.0000 0.4040 0.04278
   9258 0.0000 0.3680 0.08795
   9267 0.0890 0.2080 0.10953
   9282 0.0000 0.1840 0.01779
   9311 0.0000 1.0340 0.00135
   9312 0.0000 0.5400 0.00209
   9324 0.0000 0.5720 0.00541
   9337 0.0000 0.6170 0.00654
   9347 0.0000 0.3110 0.03081
   9463 0.0250 0.2040 0.03921
   9473 0.0000 0.3110 0.00158
   9474 0.0000 0.5350 0.02971
   9485 0.0000 0.6730 0.00172
   9493 0.0000 0.1350 0.03180
   9573 0.0200 0.3330 0.11686
   9603 0.0000 0.1730 0.00847
   9640 0.1110 0.4600 0.02026
   9659 0.0000 0.4410 0.03012
   9668 0.0000 0.2520 0.01070
   9734 0.0000 0.2660 0.13712
   9769 0.0000 0.4190 0.01062
   9834 0.0000 0.3170 0.02964
   9869 0.1320 0.3010 0.02131
   9884 0.0000 0.2140 0.01728
   9889 0.0000 0.1900 0.01506
   9906 0.0000 0.3250 0.00704
   9951 0.0000 0.3520 0.05582
   9986 0.0000 0.5460 0.00049
   9990 0.0320 0.1860 0.13522
  10000 0.0000 0.3000 0.08476
  10014 0.0000 0.3290 0.04686
  10195 0.0000 0.5210 0.00089
  10236 0.1290 0.5420 0.00935
  10249 0.0440 0.3350 0.16421
  10252 0.0000 0.2220 0.03002
  10294 0.0000 0.3300 0.12941
  10299 0.0000 0.3850 0.00519
  10348 0.0000 0.3020 0.02231
  10368 0.0000 0.2920 0.00781
  10405 0.0000 0.1080 0.03879
  10413 0.0000 0.9800 0.00508
  10464 0.1810 0.2780 0.04925
  10493 0.0000 0.5210 0.03983
  10513 0.0000 0.2150 0.00704
  10556 0.1630 0.5410 0.09512
  10562 0.0000 0.2970 0.01186
  10566 0.0000 0.2630 0.04901
  10578 0.0000 0.1390 0.03088
  10594 0.1530 0.2100 0.01539
  10649 0.0000 0.1820 0.00259
  10650 0.0000 0.1890 0.00659
  10656 0.1460 0.1710 0.10901
  10738 0.1110 0.4190 0.02570
  10767 0.0000 0.1670 0.01984
  10769 0.0680 0.1440 0.07727
  10830 0.0000 0.6360 0.00475
  10831 0.0000 0.5600 0.00627
  10843 0.0000 1.1930 0.00545
  10883 0.0740 0.7890 0.10293
  10886 0.1010 0.3410 0.09861
  10937 0.0860 0.4260 0.07428
  11051 0.1540 0.1530 0.10424
  11087 0.0000 0.6780 0.00738
  11460 0.0770 0.3700 0.08511
  11475 0.1370 0.3940 0.02892
  11517 0.0250 0.3500 0.05657
  11701 0.0000 0.2130 0.06062
  11833 0.0000 0.3480 0.01085
  11834 0.0000 0.3370 0.10294
  11881 0.0000 0.2110 0.00429
  11883 0.1540 0.3450 0.04475
  11933 0.0230 0.5860 0.09270
  11940 0.0000 0.4080 0.00202
  11979 0.0000 0.3460 0.12802
  11987 0.1870 0.2100 0.18122
  12004 0.0000 0.2150 0.01358
  12050 0.0000 0.3960 0.00622
  12054 0.1050 0.2030 0.04868
  12299 0.1540 0.3070 0.06037
  12338 0.0000 0.1160 0.02918
  12363 0.0000 0.4110 0.06990
  12433 0.1140 0.6880 0.00096
  12459 0.0000 0.1770 0.01450
  12526 0.0000 0.3160 0.05154
  12529 0.0000 0.1620 0.02789
  12537 0.0000 0.5640 0.02894
  12624 0.0000 0.5000 0.01748
  12806 0.1450 0.3920 0.02193
  12929 0.1540 1.3510 0.00786
  12934 0.1480 0.7610 0.04260
  13123 0.0250 0.2970 0.07485
  13133 0.0000 0.2080 0.10776
  13276 0.1290 0.3490 0.08110
  13337 0.0000 0.1840 0.00631
  13348 0.0620 0.2510 0.05541
  13369 0.0000 0.2850 0.00627
  13381 0.0000 0.2220 0.01924
  13471 0.1280 0.1340 0.08382
  13521 0.0000 0.2640 0.00427
  13526 0.0000 0.1840 0.00347
  13534 0.1290 0.3610 0.06124
  13571 0.1360 0.5540 0.02259
  13601 0.0000 0.3040 0.00327
  13623 0.0000 0.2610 0.00349
  13729 0.0000 0.1650 0.00034
  13806 0.0000 0.2310 0.00191
  13822 0.0000 0.5280 0.00665
  13940 0.0000 0.3650 0.16130
  13956 0.0000 0.5980 0.00058
  13984 0.0000 0.3660 0.00200
  14041 0.1440 0.1810 0.01101
  14134 0.0790 1.0130 0.04373
  14163 0.1390 0.2760 0.08703
  14408 0.0000 0.5840 0.00443
  14520 0.0000 0.5730 0.00862
  14528 0.0830 0.8600 0.06800
  14530 0.0000 0.2660 0.02495
  14550 0.1480 0.9770 0.00893
  14608 0.0000 0.5750 0.00137
  14676 0.0000 0.2990 0.00235
  14781 0.0000 0.1710 0.06748
  14808 0.0480 0.3420 0.03971
  14839 0.0000 0.3840 0.00965
  14864 0.0000 0.7310 0.00248
  14875 0.0000 0.2860 0.08035
  14929 0.0000 0.3530 0.00218
  15011 0.0000 0.4300 0.03731
  15060 0.0000 0.2340 0.12053
  15156 0.0000 0.4420 0.00240
  15160 0.0000 0.6350 0.00084
  15177 0.1100 0.5480 0.11594
  15250 0.0000 0.5330 0.00247
  15261 0.0000 0.5340 0.02758
  15317 0.0850 0.4380 0.09094
  15377 0.0000 0.2210 0.04500
  15389 0.0000 0.2970 0.00426
  15432 0.0000 0.2010 0.06125
  15517 0.0000 0.4200 0.02123
  15525 0.0200 0.4090 0.13094
  15688 0.0100 0.3160 0.01167
  15721 0.0000 0.2750 0.13787
  15725 0.0000 0.7490 0.00057
  15876 0.0000 0.3220 0.06423
  15901 0.0000 0.2950 0.03327
  15924 0.0000 0.1720 0.01985
  15955 0.0000 0.1200 0.04676
  15998 0.0000 0.5930 0.01799
  16009 0.0000 0.4540 0.00082
  16031 0.1470 0.1500 0.18906
  16065 0.0000 0.2480 0.00880
  16085 0.0000 0.4150 0.01275
  16086 0.0000 0.2480 0.00249
  16139 0.0000 0.6850 0.03957
  16150 0.0000 0.3500 0.06253
  16165 0.1310 0.5700 0.05572
  16179 0.0000 0.1320 0.10955
  16183 0.0450 0.2000 0.07584
  16274 0.0000 0.2780 0.01068
  16375 0.0000 0.6690 0.00893
  16440 0.0000 0.3330 0.00626
  16445 0.1390 0.2740 0.02143
